Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,1.17,-11.98,-42.67,3.2,34.51,18.59,115.12,16.12,10.77,-2.11,
Free Cash Flow Growth % YOY,,,111.67,-38.58,,,,,,71.03,
Cap Ex as a % of Sales,26.65,21.55,13.19,16.72,31.02,33.25,33.99,32.03,28.12,23.24,27.25
Free Cash Flow/Sales %,-3.28,1.84,5.39,3.49,-7.74,-15.74,-2.68,-0.35,6.17,10.66,6.22
Free Cash Flow/Net Income,-0.33,-0.09,-2.05,-3.0,-2.0,-8.64,-0.34,-0.04,0.61,1.08,0.64
