Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,,,,100.0,100.0,100.0,100.0
COGS,,,,,,,,35.34,45.47,41.15,43.75
Gross Margin,,,,,,,,64.66,54.53,58.85,56.25
SG&A,,,,,,,,96.02,119.27,108.8,122.68
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,,,,,,,,-31.36,-64.74,-49.96,-66.43
Net Int Inc & Other,,,,,,,,-15.34,-8.83,-2.77,-1.47
EBT Margin,,,,,,,,-46.7,-73.57,-52.73,-67.9
