Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,1.22,-6.53,-8.56,-4.12,0.84,-14.98,-88.0,1224.49,-41.99,56.97,
3-Year Average,7.39,-2.75,-4.72,-6.42,-4.02,-6.33,-53.15,10.54,-2.68,129.33,
5-Year Average,7.19,11.53,1.14,-4.22,-3.51,-6.82,-38.2,5.48,-4.6,4.23,
10-Year Average,15.85,,,,6.69,-0.06,-16.98,3.29,-4.41,0.28,
