Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-17.82,-2.89,-5.01,-24.68,-4.59,-60.6,,,,,
3-Year Average,18.2,2.59,-8.82,-11.43,-11.95,-34.34,,,,,
5-Year Average,35.0,15.11,8.78,-5.03,-11.44,-23.55,,,,,
10-Year Average,,,,213.87,18.54,1.59,,,,,
