Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,19.0,37.0,44.0,44.0
Gross Margin %,,,,,,,,93.4,92.9,92.7,92.7
Operating Income AUD Mil,,,,,,,,13.0,23.0,26.0,26.0
Operating Margin %,,,,,,,,66.2,63.2,60.1,60.1
Net Income AUD Mil,,,,,,,,9.0,45.0,38.0,38.0
Earnings Per Share AUD,,,,,,,,0.16,0.37,0.31,0.31
Dividends AUD,,,,,,,,0.09,0.17,0.17,0.17
Payout Ratio % *,,,,,,,,,57.2,45.3,55.5
Shares Mil,,,,,,,72.0,56.0,120.0,120.0,120.0
Book Value Per Share * AUD,,,,,,,,1.14,1.04,0.79,1.93
Operating Cash Flow AUD Mil,,,,,,,,9.0,23.0,22.0,22.0
Cap Spending AUD Mil,,,,,,,,,,,
Free Cash Flow AUD Mil,,,,,,,,9.0,23.0,22.0,22.0
Free Cash Flow Per Share * AUD,,,,,,,,,0.16,0.19,
Working Capital AUD Mil,,,,,,,136.0,-3.0,6.0,-11.0,
