Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,220.91,43.23,-79.9,,,128.46,-49.94,391.63,,,
3-Year Average,82.19,65.36,-2.61,,-35.76,44.45,,77.82,,,
5-Year Average,,,11.73,,4.04,-2.8,-21.23,49.3,,,
10-Year Average,13.82,27.24,2.56,,,,,29.15,,,
