Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,143.65,80.97,154.36,60.02,24.68,-6.51,-41.29,-2.26
3-Year Average,,,,,,123.84,94.57,71.85,23.1,-11.88,
5-Year Average,,,,,,,,86.19,53.73,22.74,
10-Year Average,,,,,,,,,,,
