Key Operating Income %,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Year over Year,,,-12.29,52.55,0.25,63.37,21.56,11.04,5.27,4.04,33.8
3-Year Average,,,,11.3,10.28,35.69,25.8,30.16,12.42,6.74,
5-Year Average,,,,,,17.69,21.65,27.52,18.4,19.28,
10-Year Average,,,,,,,,,,,
