Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,21.1,21.75,20.55,22.6,22.07,22.3,21.76,20.46,19.63,18.2,17.19
Gross Margin,78.9,78.25,79.45,77.4,77.93,77.7,78.24,79.54,80.37,81.8,82.81
SG&A,49.29,46.78,44.58,49.98,62.78,54.17,55.56,56.83,57.71,57.81,59.14
R&D,6.85,9.8,10.82,10.18,,12.03,12.11,11.91,12.44,14.08,13.61
Other,2.91,104.37,4.72,0.74,1.24,0.79,2.9,1.83,4.02,4.65,3.36
Operating Margin,19.85,-82.7,19.33,16.51,13.91,10.71,7.67,8.98,6.2,5.26,6.7
Net Int Inc & Other,-1.2,-2.92,-3.84,-2.47,-2.25,-2.03,-1.37,-0.92,7.68,-2.11,-2.06
EBT Margin,18.65,-85.62,15.5,14.04,11.66,8.69,6.3,8.06,13.88,3.15,4.64
