Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,6.21,-69.36,103.64,79.69,5.59,-11.41,19.92,15.39,20.25,-7.58,
3-Year Average,0.61,-31.45,-12.81,3.89,56.92,18.9,3.9,7.02,18.5,8.64,
5-Year Average,7.42,-21.04,-8.67,3.34,4.69,0.96,32.63,18.39,9.25,6.38,
10-Year Average,12.69,-20.02,-0.28,6.52,5.06,4.14,2.33,3.98,6.26,5.53,
