Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,4.1,5.73,-2.71,8.01,8.39,1.79,-25.73,17.32,-22.15,43.1,
3-Year Average,6.65,-16.46,2.31,3.57,4.43,6.02,-6.43,-3.92,-12.13,9.34,
5-Year Average,14.95,19.31,4.53,-9.33,4.63,4.16,-2.95,0.76,-5.63,-0.24,
10-Year Average,10.32,11.92,23.42,7.67,14.73,9.42,7.61,2.62,-7.5,2.16,
