Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-4.38,28.82,-68.64,187.16,-19.86,18.91,149.48,-54.14,,,
3-Year Average,23.31,23.86,-27.18,5.07,-10.31,39.87,33.47,10.81,,,
5-Year Average,,29.7,-5.41,11.34,-2.33,2.02,16.44,25.64,,,
10-Year Average,73.3,,5.39,7.58,6.42,,22.89,9.02,,,
