Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-64.92,41.79,-15.25,,,,,-78.56,-96.66,
3-Year Average,,,,-25.02,,,,,,,
5-Year Average,,,,,,,,118.48,65.96,,
10-Year Average,,,,,,,,,,,
