Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,-22.68,-17.55,130.16,-386.23,-386.23
Asset Turnover (Average),,,,,,,1.38,1.21,0.13,0.06,0.06
Return on Assets %,,,,,,,-31.38,-21.26,17.03,-23.81,-23.81
Financial Leverage (Average),,,,,,,8.48,,3.94,1.68,1.68
Return on Equity %,,,,,,,-266.14,-404.61,142.57,-72.53,-72.53
Return on Invested Capital %,,,,,,,-54.41,-42.21,34.02,-31.8,-31.8
Interest Coverage,,,,,,,-3.3,-10.82,8.96,-12.87,-12.87
