Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-38.79,-27.74,-23.44,119.59,-30.73,-21.33,22.91,30.48,5.85,20.4,
3-Year Average,12.6,-6.17,-30.3,6.7,5.21,6.17,-12.51,8.05,19.29,18.47,
5-Year Average,,9.89,-4.61,6.79,-12.43,-7.92,2.4,13.92,-1.55,9.96,
10-Year Average,3.94,16.78,0.45,0.54,,,6.08,4.25,2.54,-1.87,
