Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,,,,,,,,0.0,1.0,2.0
Gross Margin %,,,,,,,,,-371.0,-696.6,-465.9
Operating Income AUD Mil,,,,,,,,,-11.0,-26.0,-35.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,,,,,,,,,-11.0,-27.0,-35.0
Earnings Per Share AUD,,,,,,,,,-0.16,-1.08,-1.15
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,69.0,70.0,25.0,32.0
Book Value Per Share * AUD,,,,,,,,,0.43,0.39,0.41
Operating Cash Flow AUD Mil,,,,,,,,,-11.0,-26.0,-33.0
Cap Spending AUD Mil,,,,,,,,,-1.0,-2.0,-3.0
Free Cash Flow AUD Mil,,,,,,,,,-12.0,-28.0,-37.0
Free Cash Flow Per Share * AUD,,,,,,,,,,-0.26,
Working Capital AUD Mil,,,,,,,,40.0,17.0,14.0,
