Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,49.76,48.27,48.99,47.56,46.95,45.94,45.09,45.07,44.42,45.06,44.09
Gross Margin,50.24,51.73,51.01,52.44,53.05,54.06,54.91,54.93,55.58,54.94,55.91
SG&A,28.18,27.99,27.64,27.75,27.43,27.42,29.15,30.8,30.12,29.52,29.42
R&D,7.3,6.9,6.31,6.22,6.24,6.34,6.39,6.61,6.22,5.7,5.55
Other,,,,,,,,,0.51,,
Operating Margin,14.76,16.84,17.06,18.48,19.38,20.3,19.37,17.52,18.72,19.73,20.94
Net Int Inc & Other,-0.15,-0.22,-0.14,-0.16,-0.15,-0.15,-0.25,-0.92,-1.67,-1.6,-1.6
EBT Margin,14.62,16.62,16.92,18.32,19.24,20.15,19.12,16.59,17.05,18.13,19.33
