Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,8.14,-34.29,55.86,44.31,18.68,3.13,4.82,3.53,11.25,4.05,-2.72
3-Year Average,-11.28,-3.43,3.46,13.91,38.72,20.88,8.66,3.83,6.48,6.22,
5-Year Average,,-9.09,-6.48,15.16,13.66,12.59,23.61,13.9,8.12,5.31,
10-Year Average,,,,,,,6.0,3.21,11.59,9.41,
