Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-32.65,-11.46,-44.23,49.33,11.47,-68.76,249.1,4.2,17.45,-9.74,
3-Year Average,7.37,4.81,-30.72,-9.66,-2.45,-19.58,6.73,4.36,62.27,3.37,
5-Year Average,-1.54,-4.82,-9.38,-0.84,-11.15,-23.81,0.25,13.6,8.27,3.8,
10-Year Average,18.07,9.7,-0.57,1.13,0.12,-13.39,-2.32,1.46,3.62,-3.97,
