Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,55.06,,,,-6.23,43.89,39.37,52.52,15.67,51.2,
3-Year Average,24.23,,,-35.98,,,23.43,45.16,34.97,38.69,
5-Year Average,19.96,,,-12.33,-17.53,-18.75,,,27.1,39.85,
10-Year Average,26.38,,,1.32,-0.81,-1.27,1.18,3.74,5.56,7.4,
