Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,72.25,70.07,70.3,67.1,65.7,65.47,63.84,62.9,61.1,61.14,60.87
Gross Margin,27.75,29.93,29.7,32.9,34.3,34.53,36.16,37.1,38.9,38.86,39.13
SG&A,15.71,14.2,12.75,13.15,13.23,12.98,13.38,17.25,18.26,22.83,23.24
R&D,4.59,4.17,3.88,4.52,3.24,3.33,3.25,3.9,4.44,3.48,3.25
Other,0.63,0.29,0.74,0.42,0.04,0.28,0.34,1.35,0.28,50.41,13.54
Operating Margin,6.81,11.26,12.32,14.81,17.79,17.94,19.18,14.6,15.91,-37.87,-0.9
Net Int Inc & Other,-0.66,-0.98,-2.17,-1.2,-1.44,-1.8,-2.02,-6.84,-9.75,-53.94,-29.05
EBT Margin,6.15,10.29,10.15,13.61,16.36,16.14,17.17,7.76,6.16,-91.81,-29.95
