Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,57.76,55.94,54.28,53.93,53.11,51.05,50.51,49.99,50.23,52.08,53.73
Gross Margin,42.24,44.06,45.72,46.07,46.89,48.95,49.49,50.01,49.77,47.92,46.27
SG&A,22.33,21.98,21.43,21.87,21.72,22.44,23.84,24.22,24.34,25.62,24.74
R&D,6.23,6.12,6.08,6.03,5.85,5.65,5.0,5.06,5.58,5.16,5.3
Other,,0.59,0.45,,0.35,0.37,,0.76,0.65,0.74,0.7
Operating Margin,13.68,15.38,17.77,18.17,18.97,20.49,20.65,19.97,19.19,16.4,15.53
Net Int Inc & Other,0.98,0.75,1.18,1.57,0.67,1.42,-0.07,1.57,0.31,-0.97,-0.32
EBT Margin,14.67,16.13,18.94,19.75,19.64,21.91,20.58,21.54,19.51,15.43,15.21
