Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,8.93,-4.0,65.12,36.38,21.06,15.38,14.43,16.1,19.67,11.43,
3-Year Average,11.6,4.27,19.97,29.3,39.69,23.96,16.92,15.3,16.71,15.68,
5-Year Average,18.8,13.22,17.12,20.62,23.31,24.73,29.19,20.41,17.3,15.37,
10-Year Average,23.71,19.72,21.03,23.28,22.57,21.73,20.95,18.75,18.95,19.27,
