Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,-785.35,,,
Asset Turnover (Average),,0.01,,,,0.01,0.03,0.05,0.01,,
Return on Assets %,,-143.34,-107.39,-153.94,-47.76,-57.69,-94.88,-38.15,-25.61,-18.6,-18.6
Financial Leverage (Average),,3.46,4.09,1.34,1.05,1.31,8.72,1.02,1.02,1.04,1.04
Return on Equity %,,-496.48,-393.82,-508.24,-50.56,-65.8,-182.2,-56.44,-26.14,-19.18,-19.18
Return on Invested Capital %,,-215.34,-161.66,-511.09,-51.01,-63.44,-152.09,-57.24,-26.85,-21.31,-21.31
Interest Coverage,,-88.72,-16.53,-22.48,,,-959.49,-601.21,,,
