Key Operating Income %,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Year over Year,,,,,,193.46,,,,,
3-Year Average,,,,,,,,-22.05,,,
5-Year Average,,,,,65.03,,,,,,
10-Year Average,,,,,,,,12.25,,,
