Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-6.0,-14.0,-4.0,-8.0,-17.0,-16.0,-42.0,9.0,-85.0,-13.0,14.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-0.0,18.0,1.0,10.0,-16.0,-16.0,-42.0,9.0,-93.0,-22.0,12.0
Earnings Per Share AUD,,0.03,,0.01,-0.02,-0.02,-0.05,0.01,-0.1,-0.02,0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,635.0,652.0,655.0,672.0,686.0,738.0,799.0,875.0,920.0,927.0,828.0
Book Value Per Share * AUD,0.14,0.21,0.17,0.16,0.15,0.12,0.08,0.07,0.09,-0.02,-0.01
Operating Cash Flow AUD Mil,-28.0,2.0,-4.0,-4.0,-4.0,-5.0,-5.0,-4.0,-6.0,-6.0,-5.0
Cap Spending AUD Mil,-9.0,-4.0,-1.0,-4.0,-10.0,-12.0,-6.0,-2.0,-4.0,-5.0,
Free Cash Flow AUD Mil,-37.0,-2.0,-5.0,-8.0,-14.0,-17.0,-11.0,-7.0,-10.0,-10.0,-17.0
Free Cash Flow Per Share * AUD,-0.06,,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,,
Working Capital AUD Mil,25.0,29.0,25.0,20.0,3.0,12.0,8.0,7.0,15.0,8.0,
