Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,630.0,77.0,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,11.23,12.61,19.49,5.16,5.43,10.23,12.77,24.94,10.25,4.3,4.3
Free Cash Flow/Sales %,4.53,-0.81,-8.21,4.88,2.14,2.61,-4.48,-14.34,-3.67,7.14,7.14
Free Cash Flow/Net Income,0.23,-0.1,-1.04,0.56,0.28,0.33,-0.64,-2.99,-0.27,1.81,1.81
