Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,28.27,20.56,25.77,24.75,5.68,25.62,27.59,27.18,28.04,27.22,23.9
Net Margin %,20.08,11.22,11.07,9.99,4.37,10.24,11.41,10.62,12.33,10.85,8.93
Asset Turnover (Average),0.25,0.25,0.28,0.26,0.25,0.26,0.26,0.27,0.27,0.28,0.27
Return on Assets %,5.05,2.86,3.11,2.55,1.08,2.61,3.02,2.88,3.37,3.01,2.39
Financial Leverage (Average),2.81,3.2,3.03,3.0,3.1,3.03,2.91,2.85,2.94,2.89,2.87
Return on Equity %,13.43,8.49,9.66,7.7,3.29,8.01,8.97,8.31,9.75,8.76,6.87
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
