Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-0.78,122.28,1.61,-65.87,575.09,
3-Year Average,,,,,,,,30.86,-8.31,32.78,
5-Year Average,,,,,,,,,,38.86,
10-Year Average,,,,,,,,,,,
