Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-88.02,,,183.61,,,72.86,-80.99,501.45,-62.41,
3-Year Average,-47.9,,-60.1,14.58,,51.0,28.02,,25.49,-24.54,
5-Year Average,-16.77,,-40.43,,,12.8,,2.5,19.12,,
10-Year Average,-17.36,,-16.31,-8.11,,-3.11,3.04,-21.86,,-16.62,
