Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,55.36,11.96,30.45,185.4,28.75,
3-Year Average,,,,,,,,31.4,60.93,68.61,
5-Year Average,,,,,,,,,,52.83,
10-Year Average,,,,,,,,,,,
