Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2978.73,27.19,31.02,6.35,24.17,13.62,1.99,12.09,5.43,3.15,1.5
3-Year Average,,,271.59,21.02,20.05,14.48,12.9,9.11,6.42,6.82,
5-Year Average,,,,,132.38,20.12,14.93,11.4,11.2,7.15,
10-Year Average,,,,,,,,,,57.8,
