Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-72.38,529.31,8.77,19.9,-9.56,26.48,0.37,4.57,13.85
3-Year Average,,,,,23.65,101.71,5.66,11.11,4.71,9.9,
5-Year Average,,,,,,,15.44,56.5,8.41,7.56,
10-Year Average,,,,,,,,,,,
