Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,-751.0,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,3.27,2.35,1.94,1.59,1.89,5.43,5.65,5.15,7.25,8.82,10.12
Free Cash Flow/Sales %,7.33,-8.49,3.97,6.59,4.6,-2.91,-1.88,1.62,8.57,6.34,-1.17
Free Cash Flow/Net Income,3.66,0.32,-1.0,6.07,2.03,1.5,-1.26,0.56,0.44,1.02,-0.22
