Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,18.88,-13.46,2.23,49.44,25.59,-9.92,10.02,-1.72,-6.86,14.68,
Free Cash Flow Growth % YOY,57.51,-24.87,16.16,72.58,-11.2,-30.95,42.42,1.91,13.21,5.29,
Cap Ex as a % of Sales,13.04,13.83,12.85,11.94,19.93,22.2,20.39,18.25,13.45,16.21,18.1
Free Cash Flow/Sales %,19.89,15.24,18.95,26.33,18.89,13.2,19.03,18.29,20.9,20.51,18.97
Free Cash Flow/Net Income,1.09,1.08,1.52,1.0,0.79,0.64,1.04,0.87,1.01,1.18,0.85
