Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,65.37,66.76,64.92,62.23,60.85,58.06,58.89,58.02,57.18,59.24,60.46
Gross Margin,34.63,33.24,35.08,37.77,39.15,41.94,41.11,41.98,42.82,40.76,39.54
SG&A,25.81,25.56,25.09,24.35,26.03,26.01,24.93,24.93,24.78,24.83,25.48
R&D,,,,,,,,,,,
Other,-2.14,1.17,-0.07,0.06,1.17,0.89,,,,,
Operating Margin,10.95,6.51,10.06,13.36,11.95,15.04,16.18,17.05,18.04,15.93,14.07
Net Int Inc & Other,0.19,-1.55,-2.53,-0.34,-0.11,-2.79,-2.76,-2.77,-2.12,-2.44,-2.98
EBT Margin,11.14,4.97,7.53,13.01,11.84,12.25,13.42,14.28,15.91,13.49,11.08
