Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,4.0,2.0,2.0
Gross Margin %,,,,,,,,,44.7,71.7,71.7
Operating Income AUD Mil,,,,,,,,,-6.0,-6.0,-6.0
Operating Margin %,,,,,,,,,-150.6,-276.2,-276.2
Net Income AUD Mil,,,,,,,,,-5.0,-5.0,-5.0
Earnings Per Share AUD,,,,,,,,,-0.09,-0.05,-0.05
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,65.0,56.0,94.0,94.0
Book Value Per Share * AUD,,,,,,,,,0.07,0.04,0.02
Operating Cash Flow AUD Mil,,,,,,,,,-3.0,-4.0,-4.0
Cap Spending AUD Mil,,,,,,,,,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,,,,,,,,,-3.0,-4.0,-4.0
Free Cash Flow Per Share * AUD,,,,,,,,,,-0.05,
Working Capital AUD Mil,,,,,,,,8.0,4.0,-0.0,
