Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,36.41,24.01,39.55,38.83,40.58,-92.41,555.33,137.36,-54.03,52.22,
3-Year Average,45.82,25.48,33.15,33.93,39.65,-47.1,-11.26,5.67,92.65,18.42,
5-Year Average,,66.38,39.93,30.79,35.73,-23.84,6.25,18.15,-5.28,-3.76,
10-Year Average,,,,,,,32.96,28.58,11.3,14.29,
