Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-69.06,410.97,34.26,-24.62,79.31,-19.21,9.47,-98.39,3650.0,321.22,
3-Year Average,-23.51,18.04,28.51,72.93,21.98,2.98,16.61,-75.76,-12.88,36.51,
5-Year Average,6.86,32.14,25.15,10.73,23.47,49.59,9.92,-54.62,-0.86,17.61,
10-Year Average,81.45,93.65,71.59,43.6,42.98,26.44,20.52,-24.64,4.77,20.5,
