Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,0.21,0.22,0.31,6.2,1.07,0.97,0.23
Net Margin %,,,,,202.93,161.45,145.44,304.29,91.39,107.46,120.27
Asset Turnover (Average),,,,,0.04,0.04,0.04,0.1,0.09,0.08,0.08
Return on Assets %,,,,,7.61,6.35,5.73,29.14,8.56,9.09,9.87
Financial Leverage (Average),,,,1.12,1.29,1.28,1.32,1.94,1.81,1.74,1.74
Return on Equity %,,,,,9.8,8.16,7.44,49.44,16.02,16.11,17.5
Return on Invested Capital %,,,,,8.81,7.95,6.89,32.15,11.5,10.92,12.75
Interest Coverage,,,,,7.97,5.22,6.3,5.13,4.8,8.52,5.61
