Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.95,-3.64,-3.25,22.36,2.73,13.77,6.11,14.72,-0.67,-3.57,26.8
3-Year Average,5.57,9.64,1.13,4.48,6.74,12.66,7.44,11.46,6.53,3.19,
5-Year Average,3.22,4.24,1.86,9.3,5.39,5.92,7.98,11.72,7.16,5.81,
10-Year Average,0.95,1.38,1.92,4.83,4.12,4.56,6.09,6.68,8.23,5.6,
