Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,912.0,91.0,-558.0,,,,,,,
Free Cash Flow Growth % YOY,,590.0,107.0,,,,,,,,
Cap Ex as a % of Sales,5.92,6.63,6.5,7.91,8.27,8.93,15.14,14.46,7.77,6.97,6.52
Free Cash Flow/Sales %,28.51,27.12,26.82,22.08,19.83,18.34,45.36,50.13,39.16,24.5,23.19
Free Cash Flow/Net Income,6.28,1.3,0.98,1.12,0.72,0.99,1.31,95.78,1.95,0.3,0.29
