Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,76.92,-93.48,700.0,37.5,-45.45,244.44,-22.58,10.42,45.28,16.88,-57.89
3-Year Average,,,-2.63,-10.48,81.71,37.21,13.3,43.33,7.49,23.31,
5-Year Average,,,,,-7.09,6.15,74.11,17.17,18.47,37.97,
10-Year Average,,,,,,,,,,13.22,
