Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-2.36,-5.85,-2.86,-0.87,-3.59,-1.33,0.55,1.87,5.24,
3-Year Average,,,,-3.7,-3.21,-2.45,-1.94,-1.47,0.35,2.53,
5-Year Average,,,,,,-3.12,-2.92,-1.63,-0.69,0.5,
10-Year Average,,,,,,,,,,,
