Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,-9.0,-7.0,-3.0,-3.0,-2.0,-14.0,-2.0,-9.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,,-9.0,-7.0,-3.0,-2.0,-2.0,-14.0,-1.0,-9.0,-1.0,-1.0
Earnings Per Share AUD,,-2.42,-1.55,-0.49,-0.37,-0.15,-1.02,-0.05,-0.32,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,4.0,4.0,6.0,7.0,11.0,14.0,23.0,27.0,115.0,115.0
Book Value Per Share * AUD,,3.21,2.89,2.45,1.46,1.39,0.3,0.34,0.13,0.04,0.04
Operating Cash Flow AUD Mil,,-3.0,-3.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,,-2.0,-1.0,-1.0,-2.0,-2.0,-1.0,-2.0,,,
Free Cash Flow AUD Mil,,-5.0,-4.0,-4.0,-3.0,-3.0,-3.0,-4.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * AUD,,-1.4,-0.85,-0.67,-0.38,-0.42,-0.25,-0.22,-0.08,-0.01,
Working Capital AUD Mil,8.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,
