Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,41.66,,41.76,,
Net Margin %,,,,,,,3.75,-43.18,25.37,-16.47,-16.47
Asset Turnover (Average),,,,,,,0.48,0.49,0.58,0.63,0.63
Return on Assets %,,,,,,,1.79,-21.19,14.68,-10.42,-10.42
Financial Leverage (Average),,,,,,1.92,1.74,2.24,1.62,1.95,1.95
Return on Equity %,,,,,,,3.27,-40.75,28.04,-18.43,-18.43
Return on Invested Capital %,,,,,,,4.03,-27.79,21.17,-14.58,-14.58
Interest Coverage,,,,,,,2.49,-21.6,6.26,-14.15,-14.15
