Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,-2.72,,,,,,
Free Cash Flow Growth % YOY,,,,,-4.48,,,,,,
Cap Ex as a % of Sales,,,,0.67,0.72,0.97,0.51,0.84,2.64,0.64,1.03
Free Cash Flow/Sales %,,,,10.73,8.87,-13.29,-60.1,-12.79,-16.68,6.24,5.62
Free Cash Flow/Net Income,,,,0.72,-3.08,0.48,0.87,4.29,1.08,1.58,17.41
