Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,70.0,,,-74.0,,,
Free Cash Flow Growth % YOY,,,,,373.0,,,,857.0,,
Cap Ex as a % of Sales,,24.04,13.11,11.17,8.47,21.04,19.37,23.62,53.23,29.71,27.14
Free Cash Flow/Sales %,,-2.46,31.02,27.34,23.06,43.64,8.67,8.26,11.76,6.38,8.54
Free Cash Flow/Net Income,,-0.05,0.8,0.68,0.54,1.07,0.21,0.23,0.59,0.22,0.26
