Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,-663.0,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,3.5,5.2,5.97,9.05,10.99,10.86,4.42,5.23,5.28,5.36,5.36
Free Cash Flow/Sales %,109.85,-43.37,-37.25,5.08,2.38,28.01,53.75,-8.01,-8.09,10.63,10.63
Free Cash Flow/Net Income,5.19,-2.68,-2.44,1.67,0.11,1.24,2.09,-0.28,-0.29,0.42,0.42
