Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,,,,-12.29,-30.0,-58.51,-112.75,-37.55,-65.18,62.82,62.82
Financial Leverage (Average),,,1.01,1.03,1.04,1.07,1.34,1.48,3.76,1.16,1.16
Return on Equity %,,,,-12.62,-31.01,-61.68,-128.3,-53.01,-139.35,83.91,83.91
Return on Invested Capital %,,,,-13.23,-32.96,-61.94,-128.34,-51.35,-105.93,76.1,76.1
Interest Coverage,,,,-54.7,,,,,-42.5,58.14,58.14
