Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-45.89,-49.13,-13.08,0.4,-1.62,5.3,0.93,1.6,5.07,2.56,-1.35
3-Year Average,-15.9,-34.51,-37.92,-23.72,-4.95,1.32,1.5,2.59,2.52,3.06,
5-Year Average,-9.36,-20.44,-23.44,-24.51,-25.06,-14.39,-1.81,1.3,2.22,3.08,
10-Year Average,-3.81,-10.36,-12.19,-12.37,-13.75,-11.91,-11.61,-11.94,-12.16,-12.11,
