Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,6.2,-3.69,10.59,6.18,5.17,6.55,7.39,-0.47,-0.96,65.74,0.97
3-Year Average,4.7,1.37,4.19,4.18,7.29,5.96,6.37,4.43,1.92,17.78,
5-Year Average,14.72,4.98,4.1,4.11,4.78,4.85,7.16,4.92,3.47,13.33,
10-Year Average,29.35,24.77,17.45,11.76,9.74,9.67,6.06,4.51,3.79,8.97,
