Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-5.26,28.93,-10.06,-6.02,14.4,84.85,-2.93,-1.52,8.0,8.34,58.48
3-Year Average,0.46,5.32,3.19,2.91,-1.11,25.73,27.09,20.9,1.07,4.84,
5-Year Average,,9.18,3.29,-0.25,3.39,18.18,11.65,13.7,16.9,15.64,
10-Year Average,,,,,,,10.41,8.37,7.99,9.34,
