Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,146.12,-37.94,-91.93,538.89,112.46,-76.26,-36.78,375.45,-48.37,-13.33,17.65
3-Year Average,31.41,27.87,-50.23,-31.6,3.09,47.7,-31.68,-10.64,15.77,28.61,
5-Year Average,38.83,20.26,-35.26,1.52,10.85,-30.56,-30.31,57.48,-4.78,-20.42,
10-Year Average,43.07,18.85,-8.89,1.65,14.22,-1.82,-8.45,0.97,-1.68,-6.08,
