Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-7.54,-91.47,1381.79,4.7,-94.8,269.28,373.27,-37.55,-2.99,70.68,
3-Year Average,30.0,-45.79,5.34,9.8,-6.88,-41.4,-3.11,121.82,42.07,1.12,
5-Year Average,49.49,-22.18,22.67,19.84,-42.35,-23.95,69.79,-9.87,-11.24,78.4,
10-Year Average,12.82,-3.32,41.06,39.28,-9.45,6.62,14.95,5.15,3.14,1.42,
