Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.25,-18.54,-7.31,13.17,0.07,-14.84,16.02,-91.96,1596.46,75.74,-51.19
3-Year Average,12.29,-0.25,-3.98,-5.11,1.63,-1.2,-0.38,-57.01,16.54,33.85,
5-Year Average,12.39,3.56,1.34,0.81,0.05,-6.15,0.73,-38.22,6.17,18.83,
10-Year Average,13.11,9.4,6.39,6.38,7.81,2.7,2.14,-20.87,3.45,9.04,
