Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,15.6,15.65,3.13,14.58,12.5,-1.68,
3-Year Average,,,,,,,11.3,10.97,9.95,8.22,
5-Year Average,,,,,,,,,12.19,8.61,
10-Year Average,,,,5.22,6.73,7.55,6.59,7.69,,,
