Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,36.11,35.87,30.88,33.37,32.82,32.65,35.84,30.28,30.2,30.52,34.34
Gross Margin,63.89,64.13,69.12,66.63,67.18,67.35,64.16,69.72,69.8,69.48,65.66
SG&A,27.61,25.82,26.46,24.42,28.77,29.21,27.77,25.05,23.64,24.31,25.17
R&D,20.16,17.44,21.1,19.71,18.66,20.12,19.47,20.85,18.09,21.03,20.79
Other,98.25,6.83,2.7,-0.94,0.86,0.55,7.49,-3.83,0.46,-0.33,-0.31
Operating Margin,-82.12,14.04,18.85,23.45,18.9,17.48,9.44,27.65,27.61,24.48,20.01
Net Int Inc & Other,3.39,-1.36,-1.72,-2.91,-6.29,1.9,1.77,-3.54,-1.34,-1.08,16.77
EBT Margin,-78.73,12.68,17.13,20.54,12.6,19.38,11.21,24.11,26.27,23.4,36.78
