Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.89,7.62,-12.41,0.39,2.83,-7.04,6.06,6.61,-14.08,2.99,-2.52
3-Year Average,8.74,5.99,-0.69,-1.82,-3.3,-1.36,0.46,1.68,-0.96,-1.92,
5-Year Average,2.68,3.06,3.92,0.92,0.22,-1.99,-2.27,1.65,-1.47,-1.44,
10-Year Average,3.57,3.29,2.49,0.58,1.1,0.32,0.36,2.78,-0.28,-0.61,
