Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,,,,4.0,3.91,3.89,3.54,4.29,7.0,6.42,
R&D,,,,,,,,,,,
Other,,,,108.09,113.07,105.71,92.92,88.1,91.38,99.1,102.8
Operating Margin,,,,-5.25,-16.98,-9.61,3.5,7.61,1.61,-5.51,-2.8
Net Int Inc & Other,,,,12.54,18.04,18.98,19.0,22.56,19.76,35.49,36.98
EBT Margin,,,,7.29,1.06,9.37,22.5,30.17,21.38,29.97,34.18
