Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-2.97,-5.33,-6.95,3.47,-3.65,3.52,6.41,4.61,3.32,1.92,10.52
3-Year Average,1.58,-1.8,-5.1,-3.04,-2.47,1.06,2.0,4.84,4.77,3.28,
5-Year Average,2.18,0.54,-1.58,-1.83,-3.15,-1.89,0.43,2.81,2.78,3.94,
10-Year Average,5.34,5.08,1.39,1.26,0.73,0.13,0.49,0.59,0.45,0.34,
