Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-7.63,,,41.96,66.85,1.0,25.09,-3.41,-4.04,
Free Cash Flow Growth % YOY,,-88.3,,,36.87,104.89,-12.15,38.94,-3.23,-23.6,
Cap Ex as a % of Sales,2.4,1.97,2.53,1.68,2.18,2.34,3.54,3.29,4.4,7.69,5.18
Free Cash Flow/Sales %,4.49,0.18,-5.08,3.23,3.78,8.22,7.43,9.97,13.45,11.52,11.25
Free Cash Flow/Net Income,1.16,-0.01,0.55,0.13,0.85,1.31,0.85,1.09,0.98,0.88,0.99
