Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,64.8,59.86,60.62,59.52,56.13,62.38,61.41,59.94,60.92,61.53,61.53
Gross Margin,35.2,40.14,39.38,40.48,43.87,37.62,38.59,40.06,39.08,38.47,38.47
SG&A,10.03,9.67,8.46,7.02,6.42,6.34,6.56,6.13,6.58,6.66,6.66
R&D,2.96,3.11,2.73,2.24,2.16,2.62,3.3,3.45,4.66,5.05,5.05
Other,,,,,,,,,,,
Operating Margin,22.21,27.36,28.19,31.22,35.3,28.67,28.72,30.48,27.84,26.76,26.76
Net Int Inc & Other,1.65,0.76,0.24,0.38,0.33,0.68,0.54,0.55,0.63,1.2,1.2
EBT Margin,23.86,28.12,28.42,31.6,35.63,29.35,29.26,31.03,28.46,27.96,27.96
