Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,7.29,-45.28,137.09,-41.19,-9.09,-2.33,-0.65,13.75,6.02,-1.63,-1.55
3-Year Average,53.24,-8.8,11.66,-8.62,8.22,-19.47,-4.1,3.34,6.21,5.86,
5-Year Average,44.49,18.25,36.1,1.13,-5.74,-7.49,4.23,-10.01,1.24,2.85,
10-Year Average,,,,,21.07,15.61,11.02,10.66,1.18,-1.54,
